1;火球术;1;1;4;8;8;1;2;2;1;7;10;11;50;16;100;60;;
2;治愈术;2;2;7;14;20;0;0;0;2;7;10;11;50;16;100;40;;
3;基本剑术;0;0;0;0;0;0;0;0;0;7;10;11;50;16;100;0;;
4;精神力战法;0;0;0;0;0;0;0;0;2;9;10;13;50;19;100;0;;
5;大火球;1;3;3;6;6;5;10;10;1;19;10;23;50;25;100;60;;
6;施毒术;2;4;4;0;0;0;0;0;2;14;10;17;50;20;100;40;;
7;攻杀剑术;0;5;0;0;0;0;0;0;0;19;10;22;50;24;100;0;;
8;抗拒火环;4;6;8;1;1;0;0;0;1;12;10;15;50;19;100;30;;
9;地狱火;5;7;10;14;14;10;6;6;1;16;10;21;50;26;100;60;;
10;疾光电影;6;8;30;16;16;10;12;12;1;26;10;29;50;32;100;100;;
11;雷电术;7;9;12;22;48;6;18;18;1;17;10;20;50;23;100;100;;
12;刺杀剑术;0;13;0;0;0;0;0;0;0;25;10;27;50;29;100;0;;
13;灵魂火符;8;10;5;50;60;2;20;20;2;18;10;21;50;24;100;60;;
14;幽灵盾;9;11;15;0;0;0;0;0;2;22;10;24;50;26;100;40;;
15;神圣战甲术;9;12;15;0;0;0;0;0;2;25;10;27;50;29;100;40;;
16;困魔咒;10;14;10;0;0;5;0;0;2;28;10;30;50;32;100;50;;
17;召唤骷髅;4;15;16;0;0;8;0;0;2;19;10;23;50;26;100;50;;
18;隐身术;4;16;5;0;0;0;0;0;2;20;10;23;50;26;100;50;;
19;集体隐身术;8;17;10;0;0;0;0;0;2;21;10;25;50;29;100;50;;
20;诱惑之光;2;18;3;3;3;3;0;0;1;13;10;18;50;24;100;60;;
21;瞬息移动;4;19;10;0;0;8;0;0;1;19;10;22;50;25;100;50;;
22;火墙;4;20;20;3;3;25;3;3;1;24;1;29;2;33;3;120;;
23;爆裂火焰;2;21;15;8;8;10;6;6;1;22;10;27;50;31;100;60;;
24;地狱雷光;4;22;35;10;30;20;10;30;1;30;10;32;50;34;100;60;;
25;半月弯刀;0;23;0;0;0;3;0;0;0;28;10;31;50;34;100;0;;
26;烈火剑法;0;24;0;0;0;7;0;0;0;35;10;37;50;40;100;0;;
27;野蛮冲撞;0;25;15;0;0;0;0;0;0;30;10;34;50;39;100;0;;
28;心灵启示;2;26;16;0;0;0;0;0;2;26;10;30;50;35;100;40;;
29;群体治疗术;2;27;12;10;10;25;4;4;2;33;10;35;50;38;100;40;;
30;召唤神兽;4;28;16;0;0;24;0;0;2;35;10;37;50;40;100;120;;
31;魔法盾;4;29;20;0;0;30;0;0;1;31;10;34;50;38;100;0;;
32;圣言术;2;30;50;0;0;40;0;0;1;32;10;35;50;39;100;120;;
33;冰咆哮;2;31;12;15;19;30;16;16;1;35;10;37;50;40;100;60;;
34;解毒术;2;26;16;0;0;0;0;0;2;42;50;44;100;46;200;40;;
35;老狮子吼;5;7;10;14;14;10;6;6;2;42;50;44;100;46;200;60;;
36;火焰冰;1;1;4;8;8;1;2;2;0;42;50;44;100;46;200;60;;
37;群体雷电术;7;9;20;14;25;6;10;12;1;42;50;44;100;46;200;100;;
38;群体施毒术;9;46;12;10;10;30;4;4;2;42;50;44;100;46;200;40;;
39;彻地钉;1;1;4;8;8;1;2;2;0;42;50;44;100;46;200;20;;
40;双龙斩;0;44;40;0;0;3;0;0;0;42;50;44;100;46;200;0;;
41;狮子吼;4;43;8;1;1;0;0;0;0;42;50;44;100;46;200;30;;
42;狂风斩;0;0;0;0;0;3;0;0;0;42;50;44;100;46;200;0;;
43;龙影剑法;0;38;5;0;0;10;0;0;0;42;10;44;10;46;10;0;;
44;寒冰掌;1;39;3;10;10;5;10;10;1;42;50;44;100;46;200;60;;
45;灭天火;14;34;16;42;60;30;24;24;1;42;50;44;100;46;200;60;;
46;召唤英雄;10;42;14;10;0;5;0;0;99;42;50;44;100;46;200;50;;
47;火龙气;2;45;35;10;30;20;10;30;1;42;50;44;100;46;200;60;;
48;气功波;4;36;8;1;1;0;0;0;2;42;50;44;100;46;200;30;;
49;净化术;2;40;4;4;0;0;0;0;2;42;50;44;100;46;200;40;;
50;无极真气;4;35;8;1;1;0;0;0;2;42;50;44;100;46;200;30;;
51;飓风破;2;47;12;12;12;30;14;14;2;42;50;44;100;46;200;30;;
52;诅咒术;9;46;15;0;0;0;0;0;2;42;50;44;100;46;200;40;;
53;血咒;2;48;4;4;0;0;0;0;2;42;50;44;100;46;200;30;;
54;骷髅咒;2;49;4;4;0;0;0;0;2;42;50;44;100;46;200;30;;
55;擒龙手;2;19;3;3;3;3;0;0;0;42;50;44;100;46;200;60;;
57;复活术;2;40;8;5;10;10;12;15;1;39;10;42;10;45;10;60;;
70;灵魂战甲术;9;12;15;2;3;0;0;0;2;25;10;27;50;29;100;40;;
71;神武术;9;11;15;2;3;0;0;0;2;22;10;24;50;26;100;40;;
72;大挪移;2;26;3;3;3;3;0;0;99;42;50;44;100;46;200;60;;
73;道士盾;4;29;20;0;0;30;0;0;2;31;50;34;100;38;200;0;;
75;护体神盾;1;0;10;0;0;0;0;0;99;40;10;44;10;48;10;0;;
95;开天斩;0;0;0;28;28;0;0;0;0;39;10;42;10;45;10;60;;
97;召唤月灵;4;41;0;0;0;0;0;0;2;39;10;42;10;45;10;60;;
230;战士突斩;0;25;15;0;0;0;0;0;0;30;10;34;50;39;100;0;;
