0;命运之书;41;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;;
1;金创药(小量);0;0;1;0;0;0;398;1;20;0;0;0;0;0;0;0;0;0;0;0;80;200;0;0;0;0;0;;
2;魔法药(小量);0;0;1;0;0;0;394;1;0;0;30;0;0;0;0;0;0;0;0;0;80;200;0;0;0;0;0;;
3;肉;40;0;3;0;0;0;1;10000;0;0;0;0;0;0;0;0;0;0;0;0;3000;10000;0;0;0;0;0;;
4;布衣(男);10;1;5;0;0;0;60;5000;0;2;0;1;0;0;0;0;0;0;0;1;400;100;0;0;0;0;0;;
5;布衣(女);11;1;5;0;0;0;80;5000;0;2;0;1;0;0;0;0;0;0;0;1;400;100;0;0;0;0;0;;
6;木剑;5;1;7;0;0;0;30;4000;0;0;0;0;2;5;0;0;0;0;0;1;50;100;0;0;0;0;0;;
7;铁剑;5;2;10;0;0;0;36;10000;0;0;0;0;5;9;0;0;0;0;0;10;1000;100;0;0;0;0;0;;
8;青铜剑;5;2;9;0;0;0;31;6000;0;0;0;0;3;7;0;0;0;0;0;5;900;100;0;0;0;0;0;;
9;轻型盔甲(男);10;2;8;0;0;0;61;8000;3;3;1;2;0;0;0;0;0;0;0;11;3000;100;0;0;0;0;0;;
10;轻型盔甲(女);11;2;8;0;0;0;81;8000;3;3;1;2;0;0;0;0;0;0;0;11;3000;100;0;0;0;0;0;;
11;干肉;1;0;1;0;0;0;5;1;0;0;0;0;0;0;0;0;0;0;0;0;3500;10000;0;0;0;0;0;;
12;凝霜;5;13;20;0;0;0;45;20000;0;0;0;0;10;13;0;0;0;0;0;25;8000;50;0;0;0;0;0;;
13;火球术;4;1;1;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;500;50;0;0;0;0;0;;
14;治愈术;4;2;1;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;500;50;0;0;0;0;0;;
15;基本剑术;4;0;1;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;500;50;0;0;0;0;0;;
16;蜡烛;30;0;1;0;0;0;130;8000;0;0;0;0;0;0;0;0;0;0;0;0;10;10000;0;0;0;0;0;;
17;短剑;5;4;9;0;0;0;33;8000;0;0;0;0;3;11;0;0;0;0;0;10;1000;100;0;0;0;0;0;;
18;精神力战法;4;2;1;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;500;50;0;0;0;0;0;;
19;青铜斧;5;3;10;0;0;0;32;10000;0;0;0;0;0;15;0;0;0;0;0;13;1500;50;0;0;0;0;0;;
20;重盔甲(女);11;3;23;0;0;0;82;25000;4;7;2;3;0;0;0;0;0;0;0;22;10000;20;0;0;0;0;0;;
21;魔法长袍(女);11;4;12;0;0;0;83;20000;3;5;3;4;0;0;0;2;0;0;0;22;9091;20;0;0;0;0;0;;
22;灵魂战衣(女);11;5;15;0;0;0;84;20000;3;6;3;3;0;0;0;0;0;2;0;22;9091;20;0;0;0;0;0;;
23;重盔甲(男);10;3;23;0;0;0;62;25000;4;7;2;3;0;0;0;0;0;0;0;22;10000;20;0;0;0;0;0;;
24;魔法长袍(男);10;4;12;0;0;0;63;20000;3;5;3;4;0;0;0;2;0;0;0;22;9091;20;0;0;0;0;0;;
25;灵魂战衣(男);10;5;15;0;0;0;64;20000;3;6;3;3;0;0;0;0;0;2;0;22;9091;20;0;0;0;0;0;;
26;大火球;4;1;1;0;0;0;0;19;0;0;0;0;0;0;0;0;0;0;0;0;2000;10;0;0;0;0;0;;
27;攻杀剑术;4;0;1;0;0;0;0;19;0;0;0;0;0;0;0;0;0;0;0;0;2000;10;0;0;0;0;0;;
28;施毒术;4;2;1;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;1000;10;0;0;0;0;0;;
29;匕首;5;6;5;0;0;0;35;10000;0;0;0;0;4;5;0;0;0;0;0;1;500;100;0;0;0;0;0;;
30;井中月;5;17;58;0;0;0;48;30000;0;0;0;0;7;22;0;0;0;0;0;28;30000;50;0;0;0;0;0;;
31;银蛇;5;9;26;0;0;0;38;24000;0;1;0;0;7;14;0;0;1;3;0;26;15000;50;0;0;0;0;0;;
32;海魂;6;8;12;0;0;0;39;12000;0;0;0;0;3;10;1;2;0;0;0;15;3000;50;0;0;0;0;0;;
33;修罗;5;7;40;0;0;0;40;25000;0;0;0;0;0;20;0;0;0;0;0;22;10000;50;0;0;0;0;0;;
34;炼狱;6;11;60;0;0;0;41;28000;0;0;0;0;0;25;0;0;0;0;0;26;20000;50;0;0;0;0;0;;
35;凌风;5;5;20;0;0;0;34;18000;0;0;0;0;6;12;0;0;0;0;0;19;4545;50;0;0;0;0;0;;
36;破魂;5;6;8;0;0;0;51;11000;0;2;0;0;8;10;0;0;0;0;0;20;5000;50;0;0;0;0;0;;
37;斩马刀;5;10;27;0;0;0;37;19000;0;0;0;0;5;15;0;0;0;0;0;20;6000;50;0;0;0;0;0;;
38;食人树叶;42;0;1;0;0;0;255;1;0;0;0;0;0;0;0;0;0;0;0;0;50;50;0;0;0;0;0;;
39;毒蜘蛛牙齿;42;0;1;0;0;0;253;1;0;0;0;0;0;0;0;0;0;0;0;0;50;50;0;0;0;0;0;;
40;食人树果实;42;0;1;0;0;0;256;1;0;0;0;0;0;0;0;0;0;0;0;0;300;50;0;0;0;0;0;;
41;蝎子尾巴;42;0;1;0;0;0;254;1;0;0;0;0;0;0;0;0;0;0;0;0;50;50;0;0;0;0;0;;
42;蛆卵;42;0;1;0;0;0;252;1;0;0;0;0;0;0;0;0;0;0;0;0;500;50;0;0;0;0;0;;
43;灰色药粉(少量);25;1;1;0;0;0;251;5000;0;0;0;0;0;0;0;0;0;0;0;0;2727;50;0;0;0;0;0;;
